ANO,FASE,IDADE,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,IAA,IEG,IPS,IDA,IND_PV,IAN,IPP,NOTA_MATEM,NOTA_PORT,POSSUI_DEFASAGEM,INDE_ATUAL,IPP_IMPUTADO
2022,4,14.0,1,2022,1,8.3,7.7,7.5,6.1,7.25,10.0,7.96875,5.8,4.8,0,7.541,1
2022,4,14.0,0,2022,1,9.2,7.9,10.0,5.3,7.708,10.0,7.96875,4.7,6.3,0,7.894,1
2022,4,15.0,1,2022,1,9.2,6.5,7.5,5.0,6.125,5.0,7.96875,4.0,6.0,1,6.323,1
2022,4,16.0,1,2020,1,9.6,6.3,6.9,6.9,7.333,5.0,7.96875,5.3,6.7,1,6.962,1
2022,4,16.0,1,2020,1,8.8,7.5,6.9,8.3,7.958,5.0,7.96875,7.3,8.0,1,7.563,1
2022,4,16.0,1,2022,1,8.3,7.0,7.5,6.5,6.292,5.0,7.96875,4.0,7.0,1,6.712,1
2022,4,14.0,1,2018,2,7.9,8.2,5.0,6.6,7.708,10.0,7.96875,3.3,7.7,0,7.535,1
2022,4,15.0,0,2017,1,8.3,6.1,6.3,4.0,6.833,5.0,7.96875,3.7,6.2,1,6.073,1
2022,4,16.0,0,2022,1,10.0,8.3,7.5,5.2,6.833,5.0,7.96875,4.3,6.8,1,7.051,1
2022,4,15.0,0,2018,1,10.0,8.3,9.4,4.4,7.792,5.0,7.96875,4.7,6.5,1,7.357,1
2022,4,12.0,1,2018,2,7.5,10.0,6.3,7.7,8.292,10.0,7.96875,7.0,7.5,0,8.317,1
2022,4,17.0,1,2017,2,7.9,9.8,5.6,6.6,8.125,2.5,7.96875,5.0,6.7,1,7.302,1
2022,4,15.0,1,2021,1,8.3,8.1,5.6,4.7,6.458,5.0,7.96875,4.3,5.8,1,6.49,1
2022,4,15.0,1,2021,1,7.5,7.2,5.6,5.3,8.25,5.0,7.96875,2.7,6.0,1,6.746,1
2022,4,11.0,1,2018,2,7.9,9.1,5.6,6.9,8.083,10.0,7.96875,5.3,6.8,0,7.957,1
2022,4,14.0,1,2021,1,6.7,8.5,7.5,5.5,6.542,10.0,7.96875,4.7,5.5,0,7.215,1
2022,4,15.0,1,2021,1,8.8,7.9,5.6,6.7,6.5,5.0,7.96875,6.5,6.3,1,6.797,1
